wilaya,effectif_enquete,part_enfants_6_14,taux_pauvrete,part_rurale,taux_chomage,part_sans_instruction,part_adultes_sans_instruction,scol_Formel,scol_Mahadra,scol_Coranique,scol_Aucune instruction,scol_Mahadra_trad,scol_Hors_ecole_formelle,n,part_garcons_6_14,hors_ecole_garcons,hors_ecole_filles,ecart_genre_hors_ecole,scol_urbain_Formel,scol_urbain_Mahadra,scol_urbain_Coranique,scol_urbain_Aucune instruction,scol_urbain_Mahadra_trad,scol_urbain_Hors_ecole_formelle,scol_rural_Formel,scol_rural_Mahadra,scol_rural_Coranique,scol_rural_Aucune instruction,scol_rural_Mahadra_trad,scol_rural_Hors_ecole_formelle,population_2022,pop_6_14_2022,pop_0_14_2022,pop_15_64_2022,part_0_14_pct,ratio_dependance_jeunes,garcons_6_14,filles_6_14,nb_etablissements,enfants_hors_ecole,enfants_formel,enfants_mahadra,enfants_coranique,enfants_aucune_instruction,ecoles_pour_1000_enfants
Adrar,2143,27.9,28.09,41.2,2.15,18.34,11.26,93.81,0.0,3.85,2.34,3.85,6.19,249,52.34,4.79,7.72,-2.93,92.26,0.0,4.58,3.15,4.58,7.74,95.98,0.0,2.81,1.2,2.81,4.02,60843,14788,22454,35336,36.9,63.5,7488,7301,18,915,13873,569,569,346,1.22
Assaba,4786,30.67,34.37,69.26,1.09,34.25,24.52,58.45,0.54,22.96,18.05,23.5,41.55,1077,51.5,43.12,39.89,3.23,83.12,0.77,4.86,11.25,5.63,16.88,49.49,0.46,29.53,20.52,29.99,50.51,405389,113019,178320,210162,43.99,84.8,57552,55468,30,46959,66060,26559,25949,20400,0.27
Brakna,5000,28.52,40.5,75.34,2.94,40.1,35.28,74.54,0.07,8.13,17.25,8.2,25.46,1089,51.75,25.07,25.87,-0.8,84.87,0.0,6.23,8.9,6.23,15.13,71.35,0.09,8.72,19.83,8.82,28.65,334750,93040,145415,174421,43.44,83.4,47373,45667,27,23688,69352,7629,7564,16049,0.29
Dakhlet Nouadhibou,2698,22.02,9.64,3.89,2.19,22.31,10.79,78.79,0.17,10.1,10.94,10.27,21.21,22,50.84,21.85,20.55,1.3,79.55,0.0,9.97,10.49,9.97,20.45,59.09,4.55,13.64,22.73,18.18,40.91,157821,33480,50738,104289,32.15,48.7,17371,16109,3,7101,26379,3438,3381,3663,0.09
Gorgol,5633,31.56,32.42,67.18,2.24,44.97,38.45,66.54,0.11,10.57,22.78,10.69,33.46,1258,52.98,31.85,35.29,-3.44,76.54,0.19,8.65,14.62,8.85,23.46,62.4,0.08,11.37,26.15,11.45,37.6,388461,112641,177707,196944,45.75,90.2,57348,55293,22,37690,74951,12041,11906,25660,0.2
Guidimakha,6211,30.25,54.32,85.93,0.87,64.72,67.02,55.56,0.21,1.7,42.52,1.92,44.44,1648,50.56,45.79,43.06,2.73,76.19,0.87,2.16,20.78,3.03,23.81,52.67,0.12,1.64,45.57,1.76,47.33,330658,96427,150787,169602,45.6,88.9,49834,46593,31,42852,53575,1851,1639,41001,0.32
Hodh Ech Chargui,7907,29.0,24.47,82.0,1.69,24.04,8.69,59.27,0.74,32.71,7.28,33.45,40.73,1896,49.85,41.73,39.74,1.99,73.8,1.01,19.4,5.79,20.4,26.2,56.22,0.69,35.5,7.59,36.18,43.78,541134,145711,229669,287952,42.44,79.8,74189,71521,20,59348,86363,48740,47662,10608,0.14
Hodh El Gharbi,4837,28.53,35.54,79.57,1.88,32.93,21.44,52.75,0.94,31.96,14.35,32.9,47.25,1110,51.09,46.24,48.3,-2.06,77.78,0.0,14.44,7.78,14.44,22.22,46.67,1.17,36.22,15.95,37.39,53.33,340578,94083,150193,174096,44.1,86.3,47160,46923,14,44454,49629,30953,30069,13501,0.15
Inchiri,1187,22.49,27.46,22.83,7.5,17.52,6.03,83.15,0.37,11.99,4.49,12.36,16.85,62,49.06,19.08,14.71,4.37,81.95,0.49,12.68,4.88,13.17,18.05,87.1,0.0,9.68,3.23,9.68,12.9,27025,5264,7718,18301,28.56,42.2,2489,2775,2,887,4377,651,631,236,0.38
Nouakchott,11776,22.24,13.15,0.0,6.38,21.76,11.76,75.18,0.76,13.75,10.31,14.51,24.82,2619,51.05,28.05,21.45,6.6,75.18,0.76,13.75,10.31,14.51,24.82,,,,,,,1324662,311427,461812,828455,34.86,55.7,162557,148870,290,77296,234131,45188,42821,32108,0.93
Tagant,1861,25.95,40.3,66.47,0.54,40.52,31.94,69.77,0.41,5.18,24.64,5.59,30.23,308,49.9,31.54,28.93,2.61,88.0,0.0,1.71,10.29,1.71,12.0,59.42,0.65,7.14,32.79,7.79,40.58,85961,22914,35658,46142,41.48,77.3,11625,11289,15,6927,15987,1281,1187,5646,0.65
Tiris Zemmour,2306,20.77,16.13,7.2,4.08,19.04,9.16,83.72,0.21,5.01,11.06,5.22,16.28,29,48.43,18.97,13.77,5.2,85.11,0.22,4.67,10.0,4.89,14.89,62.07,0.0,10.34,27.59,10.34,37.93,58267,12323,18235,38373,31.3,47.5,6198,6125,10,2006,10317,643,617,1363,0.81
Trarza,4255,27.9,24.49,64.49,2.68,26.3,20.25,68.41,1.6,23.17,6.82,24.77,31.59,795,49.96,34.23,28.96,5.27,84.44,0.77,10.46,4.34,11.22,15.56,60.5,2.01,29.43,8.05,31.45,39.5,316489,80540,122734,178452,38.78,68.8,41494,39045,12,25443,55097,19950,18661,5493,0.15
