year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,MRT,Mauritania,MR,Adrar,MR01,31242,29601,60843,3848,3540,3761,3309,2803,2406,2096,1860,1630,1437,1238,1023,784,574,374,227,333,3818,3585,3903,3329,2652,2187,1826,1595,1355,1190,1041,873,705,544,375,246,377,7666,7124,7664,6638,5455,4593,3921,3455,2985,2626,2279,1895,1489,1118,749,474,711
2022,MRT,Mauritania,MR,Assaba,MR02,215455,189935,405389,31425,27634,27834,23592,19338,16195,13826,11870,9893,8352,6756,5468,4291,3276,2330,1672,1706,33876,29211,28341,21872,15331,11552,9098,7688,6623,5761,4953,4191,3513,2829,2089,1548,1457,65301,56844,56175,45464,34669,27747,22924,19558,16515,14113,11708,9660,7804,6105,4419,3220,3162
2022,MRT,Mauritania,MR,Brakna,MR03,176957,157794,334750,25363,22582,23085,19605,15890,13169,11003,9404,7888,6767,5686,4730,3881,2946,2003,1270,1683,27013,23729,23644,18613,13366,10111,7760,6392,5267,4537,3953,3406,2991,2426,1765,1242,1580,52375,46311,46729,38218,29256,23280,18762,15796,13156,11304,9640,8136,6873,5373,3768,2512,3263
2022,MRT,Mauritania,MR,Dakhlet-Nouadhibou,MR04,66282,91539,157821,8499,7964,8145,7041,6489,6512,5491,4294,3811,2487,2204,1236,968,466,289,175,208,8758,8285,9086,9131,10712,10489,8731,6893,5937,4192,3597,2426,1647,735,490,192,238,17258,16249,17231,16172,17201,17001,14222,11187,9748,6679,5801,3662,2616,1201,778,367,446
2022,MRT,Mauritania,MR,Gorgol,MR05,201471,186991,388461,31768,27712,27581,22958,18274,14859,12142,10151,8294,6930,5632,4537,3539,2651,1825,1239,1380,33298,28937,28411,22218,16018,12096,9266,7558,6120,5171,4394,3683,3102,2452,1747,1215,1303,65066,56648,55993,45176,34292,26956,21408,17709,14414,12101,10026,8221,6641,5102,3571,2454,2683
2022,MRT,Mauritania,MR,Guidimakha,MR06,167469,163188,330658,26422,23233,23360,19544,15606,12645,10206,8412,6707,5523,4450,3556,2768,2031,1340,840,827,27938,24786,25048,19946,14560,11056,8399,6796,5428,4526,3785,3121,2569,1984,1373,919,956,54360,48019,48408,39490,30166,23700,18605,15208,12135,10049,8235,6677,5337,4015,2713,1759,1783
2022,MRT,Mauritania,MR,Hodh El Chargi,MR07,280618,260516,541134,40431,35599,35922,30504,25027,21071,18191,15723,13195,11169,9019,7306,5794,4351,2978,1975,2361,43527,37584,36605,28699,20892,16405,13718,11958,10363,9060,7754,6559,5542,4395,3136,2178,2138,83958,73184,72527,59203,45919,37476,31909,27682,23559,20229,16773,13865,11337,8747,6114,4153,4499
2022,MRT,Mauritania,MR,Hodh El Gharbi,MR08,179230,161348,340578,27412,23668,23255,19304,15413,12771,10913,9447,8086,6906,5616,4577,3565,2831,2172,1760,1534,28698,24269,22891,17433,12215,9368,7753,6833,6169,5494,4788,4074,3370,2749,2091,1637,1515,56110,47937,46146,36737,27628,22140,18666,16280,14255,12401,10404,8650,6935,5580,4263,3397,3050
2022,MRT,Mauritania,MR,Inchiri,MR09,11720,15304,27025,1322,1295,1480,1167,1047,1070,847,798,626,431,520,345,277,158,151,68,118,1132,1196,1293,1473,1719,2010,1744,1261,965,679,586,392,345,150,150,75,134,2454,2491,2773,2640,2766,3079,2591,2059,1591,1111,1105,737,622,309,301,143,252
2022,MRT,Mauritania,MR,Nouakchott,MR10,632902,691760,1324662,74814,70790,78080,71435,64362,56273,48736,41632,33279,27280,21407,16395,11608,7733,4429,2206,2440,75571,74976,87581,80858,73367,63796,54669,46325,35346,28598,22694,17513,12881,8637,4706,1884,2357,150385,145766,165661,152293,137728,120070,103405,87957,68625,55878,44102,33908,24489,16370,9136,4090,4797
2022,MRT,Mauritania,MR,Tagant,MR11,45343,40618,85961,6249,5576,5713,4850,3890,3264,2825,2502,2222,1951,1649,1369,1091,830,575,386,402,6495,5775,5850,4645,3314,2555,2049,1778,1584,1408,1239,1062,897,720,526,379,343,12744,11351,11563,9495,7204,5819,4873,4280,3806,3359,2888,2431,1987,1550,1101,765,745
2022,MRT,Mauritania,MR,Trarza,MR12,164358,152131,316489,20403,18856,20189,17801,15052,12873,11078,9678,8270,7171,6078,5023,4012,2964,1936,1148,1825,21790,20099,21395,17747,13532,10734,8535,7270,6154,5373,4721,4004,3345,2611,1814,1202,1804,42194,38956,41584,35548,28584,23608,19613,16948,14424,12544,10800,9026,7357,5576,3750,2349,3629
2022,MRT,Mauritania,MR,Tris-Zemmour,MR13,26433,31834,58267,2992,2850,3275,2875,2656,2552,2052,1617,1570,1091,994,726,461,293,213,92,123,2920,2805,3393,3261,3726,3826,3031,2181,1764,1205,1263,915,606,339,273,151,175,5912,5655,6668,6136,6382,6378,5083,3798,3334,2297,2257,1641,1067,632,486,243,298
