indicator,label,year,value
SP.POP.TOTL,Population totale,2025,5315065.0
SP.POP.TOTL,Population totale,2024,5169395.0
SP.POP.TOTL,Population totale,2023,5022441.0
SP.POP.TOTL,Population totale,2022,4875637.0
SP.POP.TOTL,Population totale,2021,4734874.0
SP.POP.TOTL,Population totale,2020,4600131.0
SP.POP.TOTL,Population totale,2019,4467708.0
SP.POP.TOTL,Population totale,2018,4337685.0
SP.POP.TOTL,Population totale,2017,4210600.0
SP.POP.TOTL,Population totale,2016,4086657.0
SP.POP.TOTL,Population totale,2015,3965959.0
SP.POP.TOTL,Population totale,2014,3848514.0
SP.POP.TOTL,Population totale,2013,3734318.0
SP.POP.TOTL,Population totale,2012,3619034.0
SP.POP.TOTL,Population totale,2011,3502811.0
SP.POP.TOTL,Population totale,2010,3390965.0
SP.POP.TOTL,Population totale,2009,3284448.0
SP.POP.TOTL,Population totale,2008,3183269.0
SP.POP.TOTL,Population totale,2007,3093059.0
SP.POP.TOTL,Population totale,2006,3013660.0
SP.POP.TOTL,Population totale,2005,2939059.0
SP.POP.TOTL,Population totale,2004,2868664.0
SP.POP.TOTL,Population totale,2003,2802046.0
SP.POP.TOTL,Population totale,2002,2738655.0
SP.POP.TOTL,Population totale,2001,2678760.0
SP.POP.TOTL,Population totale,2000,2613441.0
SP.POP.TOTL.FE.ZS,Part femmes (%),2025,50.9168280946382
SP.POP.TOTL.FE.ZS,Part femmes (%),2024,50.9473352297512
SP.POP.TOTL.FE.ZS,Part femmes (%),2023,50.9806982340463
SP.POP.TOTL.FE.ZS,Part femmes (%),2022,51.0161646570489
SP.POP.TOTL.FE.ZS,Part femmes (%),2021,51.0522453074263
SP.POP.TOTL.FE.ZS,Part femmes (%),2020,51.0857842961429
SP.POP.TOTL.FE.ZS,Part femmes (%),2019,51.1205969593357
SP.POP.TOTL.FE.ZS,Part femmes (%),2018,51.1596854082304
SP.POP.TOTL.FE.ZS,Part femmes (%),2017,51.1994490096423
SP.POP.TOTL.FE.ZS,Part femmes (%),2016,51.2388123688414
SP.POP.TOTL.FE.ZS,Part femmes (%),2015,51.2762868391445
SP.POP.TOTL.FE.ZS,Part femmes (%),2014,51.3118569920754
SP.POP.TOTL.FE.ZS,Part femmes (%),2013,51.3458414628856
SP.POP.TOTL.FE.ZS,Part femmes (%),2012,51.3141075767732
SP.POP.TOTL.FE.ZS,Part femmes (%),2011,51.2082863710642
SP.POP.TOTL.FE.ZS,Part femmes (%),2010,51.0871684019151
SP.POP.TOTL.FE.ZS,Part femmes (%),2009,50.9513318524148
SP.POP.TOTL.FE.ZS,Part femmes (%),2008,50.803152356901
SP.POP.TOTL.FE.ZS,Part femmes (%),2007,50.6953631678661
SP.POP.TOTL.FE.ZS,Part femmes (%),2006,50.6302303511345
SP.POP.TOTL.FE.ZS,Part femmes (%),2005,50.5554328783464
SP.POP.TOTL.FE.ZS,Part femmes (%),2004,50.4730949574767
SP.POP.TOTL.FE.ZS,Part femmes (%),2003,50.3841301620781
SP.POP.TOTL.FE.ZS,Part femmes (%),2002,50.2897225097721
SP.POP.TOTL.FE.ZS,Part femmes (%),2001,50.1846376681748
SP.POP.TOTL.FE.ZS,Part femmes (%),2000,50.1310341423434
SP.POP.GROW,Croissance démographique (%),2025,2.77895808619534
SP.POP.GROW,Croissance démographique (%),2024,2.88395898961435
SP.POP.GROW,Croissance démographique (%),2023,2.96653079197429
SP.POP.GROW,Croissance démographique (%),2022,2.92956466448208
SP.POP.GROW,Croissance démographique (%),2021,2.88703345850902
SP.POP.GROW,Croissance démographique (%),2020,2.92092559048913
SP.POP.GROW,Croissance démographique (%),2019,2.95347297852629
SP.POP.GROW,Croissance démographique (%),2018,2.97356403059489
SP.POP.GROW,Croissance démographique (%),2017,2.98778789331469
SP.POP.GROW,Croissance démographique (%),2016,2.99795842489143
SP.POP.GROW,Croissance démographique (%),2015,3.00605924056849
SP.POP.GROW,Croissance démographique (%),2014,3.01218949095495
SP.POP.GROW,Croissance démographique (%),2013,3.135806545909
SP.POP.GROW,Croissance démographique (%),2012,3.26413503920642
SP.POP.GROW,Croissance démographique (%),2011,3.24512473547367
SP.POP.GROW,Croissance démographique (%),2010,3.19159403639576
SP.POP.GROW,Croissance démographique (%),2009,3.12899450909418
SP.POP.GROW,Croissance démographique (%),2008,2.87480873438379
SP.POP.GROW,Croissance démographique (%),2007,2.60052819123955
SP.POP.GROW,Croissance démographique (%),2006,2.50658248493226
SP.POP.GROW,Croissance démographique (%),2005,2.42430459268211
SP.POP.GROW,Croissance démographique (%),2004,2.34965515386841
SP.POP.GROW,Croissance démographique (%),2003,2.28829406566231
SP.POP.GROW,Croissance démographique (%),2002,2.2112923085405
SP.POP.GROW,Croissance démographique (%),2001,2.46862570579989
SP.POP.GROW,Croissance démographique (%),2000,2.78353822069134
SP.DYN.LE00.IN,Espérance de vie,2025,
SP.DYN.LE00.IN,Espérance de vie,2024,68.713
SP.DYN.LE00.IN,Espérance de vie,2023,68.484
SP.DYN.LE00.IN,Espérance de vie,2022,68.281
SP.DYN.LE00.IN,Espérance de vie,2021,66.762
SP.DYN.LE00.IN,Espérance de vie,2020,66.794
SP.DYN.LE00.IN,Espérance de vie,2019,67.64
SP.DYN.LE00.IN,Espérance de vie,2018,67.419
SP.DYN.LE00.IN,Espérance de vie,2017,67.088
SP.DYN.LE00.IN,Espérance de vie,2016,66.823
SP.DYN.LE00.IN,Espérance de vie,2015,66.498
SP.DYN.LE00.IN,Espérance de vie,2014,66.207
SP.DYN.LE00.IN,Espérance de vie,2013,65.89
SP.DYN.LE00.IN,Espérance de vie,2012,65.808
SP.DYN.LE00.IN,Espérance de vie,2011,65.754
